일자,시도명,읍면동명,평균 기온,일강수량,최대 풍속,업종명,이용금액,데이터기준일자
2018-01-03,제주시,노형동,-0.9,0,1.1,건강보조식품 소매업,38856665,2020-12-15
2018-01-03,제주시,연동,-0.9,0,1.1,건강보조식품 소매업,125651670,2020-12-15
2018-01-03,제주시,한경면,4.6,0,5.5,골프장 운영업,208387800,2020-12-15
2018-01-03,제주시,한림읍,4.6,0,5.5,건강보조식품 소매업,3204100,2020-12-15
2018-01-03,서귀포시,남원읍,6.7,0,5.2,건강보조식품 소매업,789000,2020-12-15
2018-01-03,서귀포시,효돈동,6.7,0,5.2,과실 및 채소 소매업,47655854,2020-12-15
2018-01-03,제주시,구좌읍,4.5,0,6.9,골프장 운영업,160000450,2020-12-15
2018-01-03,서귀포시,성산읍,4,0,5,건강보조식품 소매업,745000,2020-12-15
2018-01-03,서귀포시,표선면,4,0,5,건강보조식품 소매업,12194800,2020-12-15
2018-01-03,제주시,도두동,4.1,0,2.6,건강보조식품 소매업,335000,2020-12-15
2018-01-03,제주시,외도동,4.1,0,2.6,건강보조식품 소매업,3929700,2020-12-15
2018-01-03,제주시,이호동,4.1,0,2.6,건강보조식품 소매업,2782750,2020-12-15
2018-01-03,제주시,삼도2동,2.5,0,2,건강보조식품 소매업,106000,2020-12-15
2018-01-03,제주시,삼도1동,2.5,0,2,건강보조식품 소매업,13590670,2020-12-15
2018-01-03,제주시,오라동,2.5,0,2,골프장 운영업,205065672,2020-12-15
2018-01-03,제주시,용담2동,2.5,0,2,건강보조식품 소매업,571000,2020-12-15
2018-01-03,제주시,용담1동,2.5,0,2,건강보조식품 소매업,230000,2020-12-15
2018-01-03,제주시,이도2동,2.5,0,2,건강보조식품 소매업,13725800,2020-12-15
2018-01-03,제주시,이도1동,2.5,0,2,건강보조식품 소매업,19457100,2020-12-15
2018-01-03,제주시,일도2동,2.5,0,2,건강보조식품 소매업,2744500,2020-12-15
2018-01-03,제주시,일도1동,2.5,0,2,건강보조식품 소매업,1005000,2020-12-15
2018-01-03,제주시,건입동,0,0,3.4,건강보조식품 소매업,1286200,2020-12-15
2018-01-03,제주시,봉개동,0,0,3.4,골프장 운영업,87438020,2020-12-15
2018-01-04,서귀포시,예래동,6.2,7,1.1,골프장 운영업,198735700,2020-12-15
2018-01-04,제주시,아라동,0.1,1,1.3,건강보조식품 소매업,2250000,2020-12-15
2018-01-04,제주시,삼양동,2.1,0.5,2.9,건강보조식품 소매업,690000,2020-12-15
2018-01-04,제주시,조천읍,2.1,0.5,2.9,건강보조식품 소매업,4700000,2020-12-15
2018-01-04,제주시,화북동,2.1,0.5,2.9,건강보조식품 소매업,13151280,2020-12-15
2018-01-04,제주시,추자면,2.7,0,2.1,과실 및 채소 소매업,13569170,2020-12-15
2018-01-04,제주시,우도면,4.1,0,3.9,과실 및 채소 소매업,5096000,2020-12-15
2018-01-04,서귀포시,대정읍,5.5,3,11.8,건강보조식품 소매업,7267050,2020-12-15
2018-01-04,제주시,애월읍,-0.1,2,2,건강보조식품 소매업,535000,2020-12-15
2018-01-04,서귀포시,안덕면,2.9,3,5.9,건강보조식품 소매업,329000,2020-12-15
2018-01-04,제주시,노형동,-1.8,1.5,,건강보조식품 소매업,38856665,2020-12-15
2018-01-04,제주시,연동,-1.8,1.5,,건강보조식품 소매업,125651670,2020-12-15
2018-01-04,제주시,한경면,3.5,1,3.8,골프장 운영업,208387800,2020-12-15
2018-01-04,제주시,한림읍,3.5,1,3.8,건강보조식품 소매업,3204100,2020-12-15
2018-01-04,서귀포시,남원읍,5.5,1,3.6,건강보조식품 소매업,789000,2020-12-15
2018-01-04,서귀포시,효돈동,5.5,1,3.6,과실 및 채소 소매업,47655854,2020-12-15
2018-01-04,제주시,구좌읍,3.4,0,3.5,골프장 운영업,160000450,2020-12-15
2018-01-04,서귀포시,성산읍,3.1,1,5,건강보조식품 소매업,745000,2020-12-15
2018-01-04,서귀포시,표선면,3.1,1,5,건강보조식품 소매업,12194800,2020-12-15
2018-01-04,제주시,도두동,3.3,0.5,1.8,건강보조식품 소매업,335000,2020-12-15
2018-01-04,제주시,외도동,3.3,0.5,1.8,건강보조식품 소매업,3929700,2020-12-15
2018-01-04,제주시,이호동,3.3,0.5,1.8,건강보조식품 소매업,2782750,2020-12-15
2018-01-04,제주시,삼도2동,1.5,1,1.4,건강보조식품 소매업,106000,2020-12-15
2018-01-04,제주시,삼도1동,1.5,1,1.4,건강보조식품 소매업,13590670,2020-12-15
2018-01-04,제주시,오라동,1.5,1,1.4,골프장 운영업,205065672,2020-12-15
2018-01-04,제주시,용담2동,1.5,1,1.4,건강보조식품 소매업,571000,2020-12-15
2018-01-04,제주시,용담1동,1.5,1,1.4,건강보조식품 소매업,230000,2020-12-15
2018-01-04,제주시,이도2동,1.5,1,1.4,건강보조식품 소매업,13725800,2020-12-15
2018-01-04,제주시,이도1동,1.5,1,1.4,건강보조식품 소매업,19457100,2020-12-15
2018-01-04,제주시,일도2동,1.5,1,1.4,건강보조식품 소매업,2744500,2020-12-15
2018-01-04,제주시,일도1동,1.5,1,1.4,건강보조식품 소매업,1005000,2020-12-15
2018-01-04,제주시,건입동,-1.1,1,2.1,건강보조식품 소매업,1286200,2020-12-15
2018-01-04,제주시,봉개동,-1.1,1,2.1,골프장 운영업,87438020,2020-12-15
2018-01-05,서귀포시,예래동,4.1,3,2.6,골프장 운영업,198735700,2020-12-15
2018-01-05,제주시,아라동,0.7,4.5,2.4,건강보조식품 소매업,2250000,2020-12-15
2018-01-05,제주시,삼양동,3.2,3.5,4.3,건강보조식품 소매업,690000,2020-12-15
2018-01-05,제주시,조천읍,3.2,3.5,4.3,건강보조식품 소매업,4700000,2020-12-15
2018-01-05,제주시,화북동,3.2,3.5,4.3,건강보조식품 소매업,13151280,2020-12-15
2018-01-05,제주시,추자면,4.1,0,2.2,과실 및 채소 소매업,13569170,2020-12-15
2018-01-05,제주시,우도면,5.5,1,5.1,과실 및 채소 소매업,5096000,2020-12-15
2018-01-05,서귀포시,대정읍,6.5,2.5,10.4,건강보조식품 소매업,7267050,2020-12-15
2018-01-05,제주시,애월읍,0.5,4.5,2.3,건강보조식품 소매업,535000,2020-12-15
2018-01-05,서귀포시,안덕면,3.6,3.5,4.9,건강보조식품 소매업,329000,2020-12-15
2018-01-05,제주시,노형동,-1.7,3.5,,건강보조식품 소매업,38856665,2020-12-15
2018-01-05,제주시,연동,-1.7,3.5,,건강보조식품 소매업,125651670,2020-12-15
2018-01-05,제주시,한경면,4.3,4,4.3,골프장 운영업,208387800,2020-12-15
2018-01-05,제주시,한림읍,4.3,4,4.3,건강보조식품 소매업,3204100,2020-12-15
2018-01-05,서귀포시,남원읍,5.5,3,4.8,건강보조식품 소매업,789000,2020-12-15
2018-01-05,서귀포시,효돈동,5.5,3,4.8,과실 및 채소 소매업,47655854,2020-12-15
2018-01-05,제주시,구좌읍,4.5,3,5.1,골프장 운영업,160000450,2020-12-15
2018-01-05,서귀포시,성산읍,3.7,3,4.4,건강보조식품 소매업,745000,2020-12-15
2018-01-05,서귀포시,표선면,3.7,3,4.4,건강보조식품 소매업,12194800,2020-12-15
2018-01-05,제주시,도두동,4.2,4,3.1,건강보조식품 소매업,335000,2020-12-15
2018-01-05,제주시,외도동,4.2,4,3.1,건강보조식품 소매업,3929700,2020-12-15
2018-01-05,제주시,이호동,4.2,4,3.1,건강보조식품 소매업,2782750,2020-12-15
2018-01-05,제주시,삼도2동,2.2,3.5,2.4,건강보조식품 소매업,106000,2020-12-15
2018-01-05,제주시,삼도1동,2.2,3.5,2.4,건강보조식품 소매업,13590670,2020-12-15
2018-01-05,제주시,오라동,2.2,3.5,2.4,골프장 운영업,205065672,2020-12-15
2018-01-05,제주시,용담2동,2.2,3.5,2.4,건강보조식품 소매업,571000,2020-12-15
2018-01-05,제주시,용담1동,2.2,3.5,2.4,건강보조식품 소매업,230000,2020-12-15
2018-01-05,제주시,이도2동,2.2,3.5,2.4,건강보조식품 소매업,13725800,2020-12-15
2018-01-05,제주시,이도1동,2.2,3.5,2.4,건강보조식품 소매업,19457100,2020-12-15
2018-01-05,제주시,일도2동,2.2,3.5,2.4,건강보조식품 소매업,2744500,2020-12-15
2018-01-05,제주시,일도1동,2.2,3.5,2.4,건강보조식품 소매업,1005000,2020-12-15
2018-01-05,제주시,건입동,-0.4,4.5,3.2,건강보조식품 소매업,1286200,2020-12-15
2018-01-05,제주시,봉개동,-0.4,4.5,3.2,골프장 운영업,87438020,2020-12-15
2018-01-06,서귀포시,예래동,5.3,0,2.3,골프장 운영업,198735700,2020-12-15
2018-01-06,제주시,아라동,1.4,0,2.5,건강보조식품 소매업,2250000,2020-12-15
2018-01-06,제주시,삼양동,4.2,0,4.1,건강보조식품 소매업,690000,2020-12-15
2018-01-06,제주시,조천읍,4.2,0,4.1,건강보조식품 소매업,4700000,2020-12-15
2018-01-06,제주시,화북동,4.2,0,4.1,건강보조식품 소매업,13151280,2020-12-15
2018-01-06,제주시,추자면,5.3,0,2.1,과실 및 채소 소매업,13569170,2020-12-15
2018-01-06,제주시,우도면,6.3,0,4.7,과실 및 채소 소매업,5096000,2020-12-15
2018-01-06,서귀포시,대정읍,7.3,0,10.3,건강보조식품 소매업,7267050,2020-12-15
2018-01-06,제주시,애월읍,1.4,0,2.7,건강보조식품 소매업,535000,2020-12-15
2018-01-06,서귀포시,안덕면,4.9,0,4.3,건강보조식품 소매업,329000,2020-12-15
2018-01-06,제주시,노형동,-1.8,0,,건강보조식품 소매업,38856665,2020-12-15
2018-01-06,제주시,연동,-1.8,0,,건강보조식품 소매업,125651670,2020-12-15
2018-01-06,제주시,한경면,5.3,0,4.3,골프장 운영업,208387800,2020-12-15
2018-01-06,제주시,한림읍,5.3,0,4.3,건강보조식품 소매업,3204100,2020-12-15
2018-01-06,서귀포시,남원읍,6.7,0,3.8,건강보조식품 소매업,789000,2020-12-15
2018-01-06,서귀포시,효돈동,6.7,0,3.8,과실 및 채소 소매업,47655854,2020-12-15
2018-01-06,제주시,구좌읍,5.5,0,4.5,골프장 운영업,160000450,2020-12-15
2018-01-06,서귀포시,성산읍,5,0,4.5,건강보조식품 소매업,745000,2020-12-15
2018-01-06,서귀포시,표선면,5,0,4.5,건강보조식품 소매업,12194800,2020-12-15
2018-01-06,제주시,도두동,4.6,0,2.7,건강보조식품 소매업,335000,2020-12-15
2018-01-06,제주시,외도동,4.6,0,2.7,건강보조식품 소매업,3929700,2020-12-15
2018-01-06,제주시,이호동,4.6,0,2.7,건강보조식품 소매업,2782750,2020-12-15
2018-01-06,제주시,삼도2동,2.9,0,2.8,건강보조식품 소매업,106000,2020-12-15
2018-01-06,제주시,삼도1동,2.9,0,2.8,건강보조식품 소매업,13590670,2020-12-15
2018-01-06,제주시,오라동,2.9,0,2.8,골프장 운영업,205065672,2020-12-15
2018-01-06,제주시,용담2동,2.9,0,2.8,건강보조식품 소매업,571000,2020-12-15
2018-01-06,제주시,용담1동,2.9,0,2.8,건강보조식품 소매업,230000,2020-12-15
2018-01-06,제주시,이도2동,2.9,0,2.8,건강보조식품 소매업,13725800,2020-12-15
2018-01-06,제주시,이도1동,2.9,0,2.8,건강보조식품 소매업,19457100,2020-12-15
2018-01-06,제주시,일도2동,2.9,0,2.8,건강보조식품 소매업,2744500,2020-12-15
2018-01-06,제주시,일도1동,2.9,0,2.8,건강보조식품 소매업,1005000,2020-12-15
2018-01-06,제주시,건입동,0.5,0,3,건강보조식품 소매업,1286200,2020-12-15
2018-01-06,제주시,봉개동,0.5,0,3,골프장 운영업,87438020,2020-12-15
2018-01-07,서귀포시,예래동,8.6,4.5,1.1,골프장 운영업,198735700,2020-12-15
2018-01-07,제주시,아라동,4.8,5,1.7,건강보조식품 소매업,2250000,2020-12-15
2018-01-07,제주시,삼양동,7.4,5,2.1,건강보조식품 소매업,690000,2020-12-15
2018-01-07,제주시,조천읍,7.4,5,2.1,건강보조식품 소매업,4700000,2020-12-15
2018-01-07,제주시,화북동,7.4,5,2.1,건강보조식품 소매업,13151280,2020-12-15
2018-01-07,제주시,추자면,8,4.5,6.3,과실 및 채소 소매업,13569170,2020-12-15
2018-01-07,제주시,우도면,9.7,7,2.1,과실 및 채소 소매업,5096000,2020-12-15
2018-01-07,서귀포시,대정읍,11.2,7,6.1,건강보조식품 소매업,7267050,2020-12-15
2018-01-07,제주시,애월읍,4.9,3.5,1,건강보조식품 소매업,535000,2020-12-15
2018-01-07,서귀포시,안덕면,8.2,3.5,2.7,건강보조식품 소매업,329000,2020-12-15
2018-01-07,제주시,노형동,1.9,5,0.4,건강보조식품 소매업,38856665,2020-12-15
2018-01-07,제주시,연동,1.9,5,0.4,건강보조식품 소매업,125651670,2020-12-15
2018-01-07,제주시,한경면,8,2,1.4,골프장 운영업,208387800,2020-12-15
2018-01-07,제주시,한림읍,8,2,1.4,건강보조식품 소매업,3204100,2020-12-15
2018-01-07,서귀포시,남원읍,9,7,2.2,건강보조식품 소매업,789000,2020-12-15
2018-01-07,서귀포시,효돈동,9,7,2.2,과실 및 채소 소매업,47655854,2020-12-15
2018-01-07,제주시,구좌읍,7.9,9,,골프장 운영업,160000450,2020-12-15
2018-01-07,서귀포시,성산읍,8.3,4.5,1.8,건강보조식품 소매업,745000,2020-12-15
2018-01-07,서귀포시,표선면,8.3,4.5,1.8,건강보조식품 소매업,12194800,2020-12-15
2018-01-07,제주시,도두동,7.5,3,1.5,건강보조식품 소매업,335000,2020-12-15
2018-01-07,제주시,외도동,7.5,3,1.5,건강보조식품 소매업,3929700,2020-12-15
2018-01-07,제주시,이호동,7.5,3,1.5,건강보조식품 소매업,2782750,2020-12-15
2018-01-07,제주시,삼도2동,6.1,4.5,2.1,건강보조식품 소매업,106000,2020-12-15
2018-01-07,제주시,삼도1동,6.1,4.5,2.1,건강보조식품 소매업,13590670,2020-12-15
2018-01-07,제주시,오라동,6.1,4.5,2.1,골프장 운영업,205065672,2020-12-15
2018-01-07,제주시,용담2동,6.1,4.5,2.1,건강보조식품 소매업,571000,2020-12-15
2018-01-07,제주시,용담1동,6.1,4.5,2.1,건강보조식품 소매업,230000,2020-12-15
2018-01-07,제주시,이도2동,6.1,4.5,2.1,건강보조식품 소매업,13725800,2020-12-15
2018-01-07,제주시,이도1동,6.1,4.5,2.1,건강보조식품 소매업,19457100,2020-12-15
2018-01-07,제주시,일도2동,6.1,4.5,2.1,건강보조식품 소매업,2744500,2020-12-15
2018-01-07,제주시,일도1동,6.1,4.5,2.1,건강보조식품 소매업,1005000,2020-12-15
2018-01-07,제주시,건입동,4.5,5,2.4,건강보조식품 소매업,1286200,2020-12-15
2018-01-07,제주시,봉개동,4.5,5,2.4,골프장 운영업,87438020,2020-12-15
2018-01-08,서귀포시,예래동,8,5,2.8,골프장 운영업,198735700,2020-12-15
2018-01-08,제주시,아라동,5.1,5.5,3.4,건강보조식품 소매업,2250000,2020-12-15
2018-01-08,제주시,삼양동,7.4,5,4.4,건강보조식품 소매업,690000,2020-12-15
2018-01-08,제주시,조천읍,7.4,5,4.4,건강보조식품 소매업,4700000,2020-12-15
2018-01-08,제주시,화북동,7.4,5,4.4,건강보조식품 소매업,13151280,2020-12-15
2018-01-08,제주시,추자면,6.7,5,4.2,과실 및 채소 소매업,13569170,2020-12-15
2018-01-08,제주시,우도면,9.4,8,4.9,과실 및 채소 소매업,5096000,2020-12-15
2018-01-08,서귀포시,대정읍,10.5,4,11.4,건강보조식품 소매업,7267050,2020-12-15
2018-01-08,제주시,애월읍,5,11,2.9,건강보조식품 소매업,535000,2020-12-15
2018-01-08,서귀포시,안덕면,7.6,4,3.5,건강보조식품 소매업,329000,2020-12-15
2018-01-08,제주시,노형동,3.6,11,2.4,건강보조식품 소매업,38856665,2020-12-15
2018-01-08,제주시,연동,3.6,11,2.4,건강보조식품 소매업,125651670,2020-12-15
2018-01-08,제주시,한경면,7.6,5,3.4,골프장 운영업,208387800,2020-12-15
2018-01-08,제주시,한림읍,7.6,5,3.4,건강보조식품 소매업,3204100,2020-12-15
2018-01-08,서귀포시,남원읍,9.3,3.5,3.4,건강보조식품 소매업,789000,2020-12-15
2018-01-08,서귀포시,효돈동,9.3,3.5,3.4,과실 및 채소 소매업,47655854,2020-12-15
2018-01-08,제주시,구좌읍,8.7,8,4.4,골프장 운영업,160000450,2020-12-15
2018-01-08,서귀포시,성산읍,8.2,5.5,3.6,건강보조식품 소매업,745000,2020-12-15
2018-01-08,서귀포시,표선면,8.2,5.5,3.6,건강보조식품 소매업,12194800,2020-12-15
2018-01-08,제주시,도두동,7.2,8,3.3,건강보조식품 소매업,335000,2020-12-15
2018-01-08,제주시,외도동,7.2,8,3.3,건강보조식품 소매업,3929700,2020-12-15
2018-01-08,제주시,이호동,7.2,8,3.3,건강보조식품 소매업,2782750,2020-12-15
2018-01-08,제주시,삼도2동,6.3,6,3,건강보조식품 소매업,106000,2020-12-15
2018-01-08,제주시,삼도1동,6.3,6,3,건강보조식품 소매업,13590670,2020-12-15
2018-01-08,제주시,오라동,6.3,6,3,골프장 운영업,205065672,2020-12-15
2018-01-08,제주시,용담2동,6.3,6,3,건강보조식품 소매업,571000,2020-12-15
2018-01-08,제주시,용담1동,6.3,6,3,건강보조식품 소매업,230000,2020-12-15
2018-01-08,제주시,이도2동,6.3,6,3,건강보조식품 소매업,13725800,2020-12-15
2018-01-08,제주시,이도1동,6.3,6,3,건강보조식품 소매업,19457100,2020-12-15
2018-01-08,제주시,일도2동,6.3,6,3,건강보조식품 소매업,2744500,2020-12-15
2018-01-08,제주시,일도1동,6.3,6,3,건강보조식품 소매업,1005000,2020-12-15
2018-01-08,제주시,건입동,4.5,7.5,3.8,건강보조식품 소매업,1286200,2020-12-15
2018-01-08,제주시,봉개동,4.5,7.5,3.8,골프장 운영업,87438020,2020-12-15
2018-01-09,서귀포시,예래동,3.3,2,4.8,골프장 운영업,198735700,2020-12-15
2018-01-09,제주시,아라동,0.2,0.5,6.4,건강보조식품 소매업,2250000,2020-12-15
2018-01-09,제주시,삼양동,3,0.5,8.1,건강보조식품 소매업,690000,2020-12-15
2018-01-09,제주시,조천읍,3,0.5,8.1,건강보조식품 소매업,4700000,2020-12-15
2018-01-09,제주시,화북동,3,0.5,8.1,건강보조식품 소매업,13151280,2020-12-15
2018-01-09,제주시,추자면,3.7,0,2.8,과실 및 채소 소매업,13569170,2020-12-15
2018-01-09,제주시,우도면,4.8,1,7.2,과실 및 채소 소매업,5096000,2020-12-15
2018-01-09,서귀포시,대정읍,6.4,0,14.8,건강보조식품 소매업,7267050,2020-12-15
2018-01-09,제주시,애월읍,0,1,4,건강보조식품 소매업,535000,2020-12-15
2018-01-09,서귀포시,안덕면,3.2,1,4.7,건강보조식품 소매업,329000,2020-12-15
2018-01-09,제주시,노형동,-3.5,6.5,2.1,건강보조식품 소매업,38856665,2020-12-15
2018-01-09,제주시,연동,-3.5,6.5,2.1,건강보조식품 소매업,125651670,2020-12-15
2018-01-09,제주시,한경면,4.2,0.5,4.6,골프장 운영업,208387800,2020-12-15
2018-01-09,제주시,한림읍,4.2,0.5,4.6,건강보조식품 소매업,3204100,2020-12-15
2018-01-09,서귀포시,남원읍,4.7,0,2.8,건강보조식품 소매업,789000,2020-12-15
2018-01-09,서귀포시,효돈동,4.7,0,2.8,과실 및 채소 소매업,47655854,2020-12-15
2018-01-09,제주시,구좌읍,3.8,1.5,10.1,골프장 운영업,160000450,2020-12-15
2018-01-09,서귀포시,성산읍,3.2,0.5,4,건강보조식품 소매업,745000,2020-12-15
2018-01-09,서귀포시,표선면,3.2,0.5,4,건강보조식품 소매업,12194800,2020-12-15
2018-01-09,제주시,도두동,4.1,0,6.2,건강보조식품 소매업,335000,2020-12-15
2018-01-09,제주시,외도동,4.1,0,6.2,건강보조식품 소매업,3929700,2020-12-15
2018-01-09,제주시,이호동,4.1,0,6.2,건강보조식품 소매업,2782750,2020-12-15
2018-01-09,제주시,삼도2동,2,0.5,5.9,건강보조식품 소매업,106000,2020-12-15
2018-01-09,제주시,삼도1동,2,0.5,5.9,건강보조식품 소매업,13590670,2020-12-15
2018-01-09,제주시,오라동,2,0.5,5.9,골프장 운영업,205065672,2020-12-15
2018-01-09,제주시,용담2동,2,0.5,5.9,건강보조식품 소매업,571000,2020-12-15
2018-01-09,제주시,용담1동,2,0.5,5.9,건강보조식품 소매업,230000,2020-12-15
2018-01-09,제주시,이도2동,2,0.5,5.9,건강보조식품 소매업,13725800,2020-12-15
2018-01-09,제주시,이도1동,2,0.5,5.9,건강보조식품 소매업,19457100,2020-12-15
